req1,req2,label
to protect a traction unit from roll away and unwanted reverse movements the trainborne equipment shall monitor the direction of movement in relation to the permitted direction,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
the indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of etcs,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
the target distance to be displayed on the dmi shall be based on the most restrictive braking curve,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,0
the ceiling speed level for the movement authority shall be defined as data national value,there shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits function,0
the on board shall supervise the train against a ceiling speed,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,once the train starts reversing the ma shall be cancelled,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the etcs trainborne equipment calculates the static train speed profile on the basis of infrastructure data and train data,0
the roll awayreverse movement intervention shall be indicated on the dmi,the etcs trainborne equipment shall indicate on the dmi the information regarding pantograph and power supply,1
it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
etcs shall provide the driver with information to allow him to drive the train safely,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0
etcs shall provide the driver with information to allow him to drive the train safely,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,the etcs onboard shall be capable of receiving information regarding air tightness from the trackside,0
if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,the etcs onboard shall be capable of receiving track description from the trackside,1
the trackside shall be able to send information for the calculation of speed profiles,when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,0
the trackside shall be able to send information for the calculation of speed profiles,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,0
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,it shall be possible to use tandem traction units without isolating the etcs trainborne equipment on the tandem traction unit,0
track to train transmission shall provide the capability to send different speed profiles for specific train categories,the train shall be capable of receiving any tracktotrain information intended and relevant for this train including movement authority,0
there shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits function,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,0
transitions which occur while the train is stationary shall be initiated automatically or manually as appropriate,the driver shall be able to consult train data when the train is stationary or moving,0
the etcs trainborne equipment shall be able to determine the location of the entire train,if a train cannot stop at the proposed new target location it shall reject the request and keep the old target location,0
if the supervision is performed by a rbc it shall be possible to prevent movements of a traction unit in its area if not authorised by the rbc,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,0
it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,0
etcs shall provide the driver with information to allow him to drive the train safely,track to train transmission shall provide the capability to send different speed profiles for specific train categories,0
current train data shall be stored except at transition to shunting in the etcs equipment until the traction unit is not operative,the driver shall be able to override the function when the train is stationary,0
current train data shall be stored except at transition to shunting in the etcs equipment until the traction unit is not operative,the following train data shall be sent from the on board to the trackside,0
it shall be possible to apply the train trip function if the shunting movement passes a signal showing danger for shunting,the driver shall be able to override the function when the train is stationary,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,to protect a traction unit from roll away and unwanted reverse movements the trainborne equipment shall monitor the direction of movement in relation to the permitted direction,0
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
the entry of driver identification and the selection of the language shall be possible,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,when the train passes the stop signal the train trip function shall be suppressed,0
when the traction unit has come to a standstill the driver shall be able to release the emergency brake,the train shall be able to automatically pass from one rbc area to another without driver intervention,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,0
the supervised shunting speed shall be indicated to the driver on request,information shall be shown on the dmi,1
the onboard shall be capable to switch to another etcs status when transmitted from trackside,the etcs onboard shall be capable of sending to the trackside train integrity information detected by a system outside etcs,1
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,the indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of etcs,0
track to train transmission shall provide the capability to send different speed profiles for specific train categories,when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,0
track to train transmission shall provide the capability to send different speed profiles for specific train categories,when changing to a higher speed level the rear end of the train shall respect the static train speed profile,0
it shall be possible to apply the train trip function if the shunting movement passes a signal showing danger for shunting,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
the entry of driver identification and the selection of the language shall be possible,the etcs onboard shall be capable of receiving information regarding air tightness from the trackside,1
track to train transmission shall provide the capability to send different speed profiles for specific train categories,it shall be possible to send plain text messages from track to train,0
track to train transmission shall provide the capability to send different speed profiles for specific train categories,it shall be possible to send fixed text messages from track to train,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,actual speed shall be indicated on the dmi,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,route unsuitability shall be indicated on the dmi,0
etcs shall calculate the permitted speed for the train for all locations of the authorised movement,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,the trainborne equipment shall apply the emergency brake after a distance defined by a national value is travelled by the train,0
it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,when a traction unit passes a stopsignal the emergency brake shall be triggered,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the information regarding lowering and raising of the pantograph and openingclosing of the circuit breaker shall be provided separately and in combinations,0
etcs shall calculate the permitted speed for the train for all locations of the authorised movement,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,0
if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,after the acknowledgement the driver shall be able to continue the movement,0
when the etcs trainborne equipment is isolated the system shall not show any etcs information other than the fact that the system is isolated,the etcs trainborne equipment shall transmit its own train identification to the rbc,0
the entry of driver identification and the selection of the language shall be possible,in the event of a transmission failure the following reactions shall be capable of being applied in accordance with a national value,0
it shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a full supervision movement authority,the driver shall be able to override the function when the train is stationary,0
it shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a full supervision movement authority,the following train data shall be sent from the on board to the trackside,0
the test shall require no action on the part of the driver,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
etcs shall calculate the permitted speed for the train for all locations of the authorised movement,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
the driver shall be able to consult train data when the train is stationary or moving,current train data shall be stored except at transition to shunting in the etcs equipment until the traction unit is not operative,0
exit from shunting shall only be possible when the train is stationary,the train shall leave partial supervision when the trainborne equipment is not operative any longer when shunting is selected or when full supervision is available,0
there shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits function,the driver shall be able to override the function when the train is stationary,0
the current application level shall be indicated on the dmi,this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,1
this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,the occurrence of a failure shall be displayed on the dmi,1
it shall be possible to send information regarding the inhibition of the following different types of brake,the occurrence of a failure shall be displayed on the dmi,1
together with the movement authority the on board shall be able to receive one or more timeouts for certain sections of the movement authority and shorten the movement authority accordingly when a time out expires,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
the supervised shunting speed shall be indicated to the driver on request,the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,0
the train shall have the capability of being supervised to a ceiling speed,the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,0
it shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a full supervision movement authority,the ceiling speed level for the movement authority shall be defined as data national value,0
the etcs trainborne equipment shall transmit its own train identification to the rbc,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
exit from shunting shall only be possible when the train is stationary,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0
trains equipped for ertmsetcs application level shall be able to run on lines equipped with ertmsetcs application level and trains equipped for ertmsetcs application level shall be able to run on lines equipped with ertmsetcs application level and and trains equipped for ertmsetcs application level shall be able to run on lines equipped with ertmsetcs application level and,if an etcs equipped train passes a level transition to one or more levels for which it is not equipped etcs shall initiate a brake application,0
the etcs trainborne equipment shall be able to determine the location of the entire train,the new target location shall be checked for acceptance by the on board,0
the following definitions shall apply for the etcs application levels,the dmi shall indicate the result of the selftest,1
the dmi shall indicate the result of the selftest,the on board shall supervise the train against a ceiling speed,1
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,0
the dmi shall indicate the result of the selftest,the etcs onboard shall be capable of receiving track description from the trackside,1
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of etcs,0
the driver shall be able to consult train data when the train is stationary or moving,if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,0
when the etcs trainborne equipment is isolated the system shall not show any etcs information other than the fact that the system is isolated,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0
isolation of the etcs trainborne equipment shall disconnect the etcs trainborne equipment from the vehicle braking system,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,0
the system for train data entry shall provide for the input of other data required by stms connected to etcs this may require additional items not required for etcs to be entered,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,0
if track data at least to the location where the relevant movement authority ends are not available onboard the movement authority shall be rejected,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,the indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of etcs,0
fixed text messages shall be provided in the language selected by the driver,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
the trackside shall be able to send information for the calculation of speed profiles,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,0
unfitted operation shall be possible if selected by the driver at start up,fixed text messages shall be provided in the language selected by the driver,0
when changing to a lower speed level the front end of the train shall respect the dynamic train speed profile,if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,0
when changing to a higher speed level the rear end of the train shall respect the static train speed profile,if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,0
when the train passes the stop signal the train trip function shall be suppressed,if a train cannot stop at the proposed new target location it shall reject the request and keep the old target location,0
there shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits function,the information regarding lowering and raising of the pantograph and openingclosing of the circuit breaker shall be provided separately and in combinations,0
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,0
the test shall require no action on the part of the driver,the roll awayreverse movement intervention shall be indicated on the dmi,1
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,it shall be possible to drive the train backwards in a supervised way speed and distance according to information received from trackside,0
the test shall require no action on the part of the driver,the etcs onboard shall be capable of receiving information regarding air tightness from the trackside,1
the emergency stop shall be indicated to the driver on the dmi,the etcs onboard shall be capable of receiving information regarding air tightness from the trackside,1
there shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits function,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,if track data at least to the location where the relevant movement authority ends are not available onboard the movement authority shall be rejected,0
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,to protect a traction unit from roll away and unwanted reverse movements the trainborne equipment shall monitor the direction of movement in relation to the permitted direction,0
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,the entry of driver identification and the selection of the language shall be possible,0
when the train passes the stop signal the train trip function shall be suppressed,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,0
where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,the driver shall have the possibility to select the language this does not concern non predefined texts sent from the trackside,0
the following data may be entered manually by the driver or from train memory,the driver shall be able to override the function when the train is stationary,0
if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,0
it shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a full supervision movement authority,if track data at least to the location where the relevant movement authority ends are not available onboard the movement authority shall be rejected,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,the distance supervised can be extended from the trackside,0
if the supervision is performed by a rbc it shall be possible to prevent movements of a traction unit in its area if not authorised by the rbc,the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,0
it shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a full supervision movement authority,there shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits function,0
the current application level shall be indicated on the dmi,the etcs onboard shall be capable of receiving track description from the trackside,1
the on board shall supervise the train against a ceiling speed,the etcs onboard shall be capable of receiving track description from the trackside,1
the etcs onboard shall be capable of receiving track description from the trackside,the supervised speed shall not be shown on the dmi,1
if supervised by an rbc it shall be possible to command an emergency stop to all trains in a particular area or to a specific train,it shall be possible to send plain text messages from track to train,0
if supervised by an rbc it shall be possible to command an emergency stop to all trains in a particular area or to a specific train,it shall be possible to send fixed text messages from track to train,0
the train shall be capable of receiving any tracktotrain information intended and relevant for this train including movement authority,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
together with the movement authority the on board shall be able to receive one or more timeouts for certain sections of the movement authority and shorten the movement authority accordingly when a time out expires,etcs shall calculate the permitted speed for the train for all locations of the authorised movement,0
the trackside shall be able to send information for the calculation of speed profiles,track to train transmission shall provide the capability to send different speed profiles for specific train categories,0
where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,when a train has received an emergency stop etcs shall command the emergency brake,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the supervised shunting speed shall be indicated to the driver on request,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the emergency brake shall be applied until the traction unit is stationary,0
if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,the indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of etcs,0
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,it shall be possible to send information regarding the inhibition of the following different types of brake,0
it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,the following train data shall be sent from the on board to the trackside,0
it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,0
the on board shall supervise the train against a ceiling speed,the target distance shall not be shown on the dmi unless selected by the driver,1
the target distance shall not be shown on the dmi unless selected by the driver,once the train starts reversing the ma shall be cancelled,1
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,0
the etcs onboard shall be capable of receiving national values from the trackside to adapt to national requirements,the trackside shall be able to send information for the calculation of speed profiles,1
the trackside shall be able to send information for the calculation of speed profiles,it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,0
when the etcs trainborne equipment is isolated the system shall not show any etcs information other than the fact that the system is isolated,when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,it shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a full supervision movement authority,0
if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,the ceiling speed value for the unfitted operation is determined by the lower value out of,0
when the train is stationary or after a certain time eg the time for route releasing of the overlap the release speed calculation shall be based on the distance to the danger point if calculated onboard the condition for this change shall be defined for each target as infrastructure data,the distance supervised can be extended from the trackside,0
it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,it shall be possible to drive the train backwards in a supervised way speed and distance according to information received from trackside,0
if the train is equipped with only one operational radio passing from one rbc to another shall still be possible but might result in a performance penalty,in etcs with rbc this restriction on performance shall if possible be transmitted to the rbc,0
the on board shall be capable of sending train data to the trackside after confirmation by the driver or when entering the rbc area,the cooperative revocation of the ma shall be possible to a new target location proposed from rbc,0
when the traction unit has come to a standstill the driver shall be able to release the emergency brake,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,0
the etcs onboard shall be capable of receiving national values from the trackside to adapt to national requirements,national values shall be applicable to a defined area,1
the following definitions shall apply for the etcs application levels,if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,0
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,the train shall be able to automatically pass from one rbc area to another without driver intervention,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,information shall be recorded to an accuracy which enables a clear view of the functioning of etcs and way the traction unit has been driven,0
etcs shall provide the driver with information to allow him to drive the train safely,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,0
the indication provided shall enable the driver to drive at the permitted speed without receiving a warning and without intervention of etcs,the information regarding lowering and raising of the pantograph and openingclosing of the circuit breaker shall be provided separately and in combinations,0
etcs shall calculate the permitted speed for the train for all locations of the authorised movement,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,0
the driver shall be able to consult train data when the train is stationary or moving,it shall be possible to define certain locations eg tunnels where speed increase is related to the front of the train,0
the etcs onboard shall be capable of receiving track description from the trackside,the etcs trainborne equipment shall supervise the end of movement authority if this information is available onboard,1
the trackside shall be able to send information for the calculation of speed profiles,the etcs onboard shall be capable of receiving information about pantograph and power supply from the trackside,1
current train data shall be stored except at transition to shunting in the etcs equipment until the traction unit is not operative,stored train data shall be offered to the driver to be confirmed when data entry starts,0
if decided by a national value the driver may release the etcs emergency brake when the actual speed is below the permitted speed,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
it shall be possible to send plain text messages from track to train,it shall be possible to revoke a movement authority that has already been issued to a train in a cooperative way between rbc and train,0
it shall be possible to send fixed text messages from track to train,it shall be possible to revoke a movement authority that has already been issued to a train in a cooperative way between rbc and train,0
train data shall be entered before the onboard etcs equipment allows train movement,operation of the train trip shall be indicated on the dmi,1
the etcs onboard shall be capable of receiving track description from the trackside,the release speed shall be calculated on board based on either,1
this ceiling speed shall not be shown continually on the dmi but may be shown momentarily when selected by the driver,on demand the position of the front end of the train at the time of the demand shall be indicated on the dmi this shall be possible while the train is moving or stationary,1
in case the transition has to be acknowledged and the driver fails to acknowledge as required the etcs shall initiate a brake application,on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,0
after the acknowledgement the driver shall be able to continue the movement,the etcs trainborne equipment shall indicate on the dmi the information regarding pantograph and power supply,1
if the onboard fails to contact the rbc when awakening the driver shall be asked to enter the rbc contact details,where failure to apply the full service brake is detected the emergency brake shall stop the train in rear of the danger point,0
it shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a full supervision movement authority,the driver shall enter the driver id,0
the driver shall acknowledge the level transitions if requested from trackside if the driver does not acknowledge after the transition the brake shall be applied if the driver acknowledges afterwards the brake can be released,for transitions to and from national operation stm the etcs shall request an acknowledgement by the driver,0
the driver shall know the distance to the next point defining the indicated braking curve and the permitted speed allowed this shall be shown to the driver in a way that is understandable and logical,the trainborne equipment shall apply the emergency brake after a distance defined by a national value is travelled by the train,0
the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,the distance supervised can be extended from the trackside,0
when the traction unit is stationary the driver shall be required to acknowledge the train trip condition this acknowledgement will release the emergency brake,after the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,0
the etcs trainborne equipment shall be capable of being isolated,the etcs onboard shall be capable of receiving information about pantograph and power supply from the trackside,1
on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,the new target location shall be checked for acceptance by the on board,0
using train data and infrastructure data braking curves shall be calculated taking into account the target information but not the location of vehicles occupying the track,if a train cannot stop at the proposed new target location it shall reject the request and keep the old target location,0
etcs shall calculate the permitted speed for the train for all locations of the authorised movement,the driver shall be able to override the function when the train is stationary,0
etcs shall provide the driver with information to allow him to drive the train safely,if there are failures of the trainborne equipment which compromise the safety of train supervision the etcs trainborne equipment shall immediately command the brake and bring the train to a stop,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the driver shall select an override control according to the permission received,0
on request of the rbc the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear,the emergency brake shall be applied until the traction unit is stationary,0
it shall be possible to apply the train trip function if the shunting movement passes a signal showing danger for shunting,it shall be possible for the trackside to ask a driver for confirmation about the occupancy of the track ahead before sending a full supervision movement authority,0
to prevent unauthorised use of the function permission shall be obtained from the rbc if the train is operating under the control of the rbc,the on board shall supervise the train against a ceiling speed,0
the release speed shall be indicated on the dmi,the etcs onboard shall be capable of receiving information regarding air tightness from the trackside,1
the etcs onboard shall be capable of receiving information regarding air tightness from the trackside,the distance supervised can be extended from the trackside,1
the test shall require no action on the part of the driver,if the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point,0
the trainborne equipment shall apply the emergency brake after a distance defined by a national value is travelled by the train,after the acknowledgement the driver shall be able to continue the movement,0
the entry of driver identification and the selection of the language shall be possible,when the traction unit has come to a standstill the driver shall be able to release the emergency brake,0
the entry of driver identification and the selection of the language shall be possible,the driver shall be able to use the reversing function without needing to reconfirm the train data,0
when the traction unit has come to a standstill the driver shall be able to release the emergency brake,when the train passes the stop signal the train trip function shall be suppressed,0
the braking curves shall ensure that the train complies with its speed requirements,when the train passes the stop signal the train trip function shall be suppressed,0
when the train passes the stop signal the train trip function shall be suppressed,the etcs trainborne equipment shall transmit its own train identification to the rbc,0
it shall be possible to command a conditional emergency stop if the train has already passed the location for the emergency stop the command shall be ignored,the cooperative revocation of the ma shall be possible to a new target location proposed from rbc,0
it shall be possible to send information regarding the inhibition of the following different types of brake,the driver shall be able to confirm the train integrity to the rbc manually the confirmation requires the train to be stationary,0
etcs shall provide the driver with information to allow him to drive the train safely,if as a result of an automatic transition except for transitions to and from national operation stm the responsibility for the driver increases the etcs shall seek an acknowledgement from the driver whether the train is stationary or not,0
if an etcs equipped train passes a level transition to a line fitted with more than one level the onboard shall switch to the highest level according to the priority given by trackside for which it is equipped,on lines fitted with rbc the etcs trainborne equipment shall be able to transmit the location of the entire train to the rbc,0
